practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference
A81019,12,12,12,106425.0,8868.75,0.46036379968560526,4666.0,3153.0,1513.0,0.0,43.843081982616866,0.6757393913416202,0.32426060865837975,0.0,0.0,11.280559054955962,54323,47944,3240,3139,43912,7257,0,2106,1048,0,21670,3158,7935,9586,6016,3336,2563,11915,59,0,510.4345783415551,0.05964324503433168,0.8083500543048064,0.13358982383152623,0.3989102221894962,0.05813375549951218,0.146070725107229,0.20420448060674118,0.17646300830219244,0.6031147027962374,0.21933619277285865,53.41660371366156,0,0,0
A81020,12,12,12,94277.0,7856.416666666667,0.39774185270721063,5215.0,4145.0,1070.0,0.0,55.315718573989415,0.7948226270373921,0.20517737296260785,0.0,0.0,8.341732160141992,46795,41830,2085,2880,28019,13231,3907,520,1118,0,13529,3215,10887,9784,5902,2267,1209,9378,2,0,496.35648143237484,0.04455604231221284,0.5987605513409552,0.2827438828934715,0.28911208462442567,0.06870392135911957,0.23265306122448978,0.3013569825836093,0.20908216689817288,0.590469067208035,0.20040602628485948,45.227489463249555,0,0,0
A81021,12,12,12,292840.0,24403.333333333332,16.23864430468204,4112.0,2774.0,1338.0,0.0,14.041797568638165,0.6746108949416343,0.32538910505836577,0.0,0.0,2.265500438376722,159389,141728,11037,6624,132246,14211,5776,1949,5207,0,59948,11309,28081,25960,11058,9703,13322,34083,8,0,544.2869826526431,0.06924568194793869,0.829705939556682,0.08915922679733232,0.3761112749311433,0.0709521987088193,0.17617903368488416,0.24713123239370346,0.1628719673252232,0.6232425073248468,0.21383533368049237,78.71862859985508,0,0,0
A81022,12,12,12,112387.0,9365.583333333334,0.4156453159970159,3609.0,2808.0,801.0,0.0,32.112254976109334,0.7780548628428927,0.22194513715710723,0.0,0.0,6.013507094953126,72122,66101,3281,2740,38807,25902,2548,0,4865,0,32546,4457,8219,13029,6334,4350,3181,13865,6,0,641.7290255990462,0.045492360167493966,0.5380743739774272,0.3591414547572169,0.4512631374615235,0.061798064390893206,0.11395967943207343,0.17575774382296663,0.18065222816893597,0.6270208812844902,0.19224369817808712,90.97471961002385,0,0,0
A81023,12,12,12,101298.0,8441.5,1.647058823529412,5182.0,4100.0,1082.0,0.0,51.15599518253075,0.7912003087610961,0.2087996912389039,0.0,0.0,8.870497381179268,50455,42983,2146,5326,34110,15477,0,285,583,0,17708,3395,14205,9242,3223,1597,1083,5903,2,0,498.0848585362001,0.04253295015360222,0.67604796353186,0.3067485878505599,0.35096620751164403,0.06728768209295412,0.28153800416212466,0.34882568625507876,0.18317312456644536,0.6997918937667228,0.11699534238430284,50.28713718522415,0,0,0
A81025,12,12,12,49140.0,4095.0,0.38957876795714635,1336.0,988.0,348.0,0.0,27.18762718762719,0.7395209580838323,0.26047904191616766,0.0,0.0,6.848312244901763,18642,16470,836,1336,15318,1766,808,253,497,0,7336,1474,4291,3680,1279,393,187,1859,2,0,379.36507936507934,0.0448449737152666,0.8216929514000644,0.09473232485784787,0.3935200085827701,0.07906876944533849,0.23017916532560884,0.3092479347709473,0.1974037120480635,0.7027679433537174,0.099721059972106,54.38893341664466,0,0,0
A81026,12,12,12,250128.0,20844.0,0.6428536903668616,63361.0,56232.0,7129.0,0.0,253.31430307682467,0.8874859929609696,0.11251400703903032,0.0,0.0,32.521649659781865,94531,85558,6177,2796,60835,11856,20026,0,1814,0,35439,4487,13175,16140,12381,8705,4201,25287,3,0,377.9304995842129,0.06534364388401688,0.6435455035914145,0.1254191746622801,0.37489289227872336,0.04746591065364801,0.13937226941426623,0.18683818006791425,0.17073764162020924,0.5617310723466377,0.26749955041203416,35.2949971028348,0,0,0
A81027,12,12,12,172230.0,14352.5,0.494539460127756,16879.0,11984.0,4895.0,0.0,98.00267084712303,0.7099946679305646,0.2900053320694354,0.0,0.0,19.05286769916238,94131,88145,1650,4336,59380,4281,25998,1526,2946,0,41669,6935,14281,13385,9599,5843,2417,17859,2,0,546.5424142135516,0.017528763106734232,0.6308230019865931,0.04547917264238136,0.4426703211481871,0.07367392251224357,0.15171410056198276,0.22538802307422634,0.14219545102038647,0.6680583442224134,0.18972495777161616,74.9532965686837,0,0,0
A81029,12,12,12,84160.0,7013.333333333333,1.183431952662722,737.0,474.0,263.0,0.0,8.75712927756654,0.6431478968792401,0.3568521031207598,0.0,0.0,1.5279340150588403,32587,26561,2956,3070,23912,8105,0,0,570,0,7693,2199,10454,6285,2360,1174,2421,5955,1,0,387.2029467680608,0.09071101973179489,0.7337895479792556,0.24871881425108172,0.23607573572283425,0.0674808972903305,0.3208027741123761,0.3882836714027066,0.19286832172338664,0.6243594071255408,0.1827415840672661,52.29600608926539,0,0,0
A81030,12,12,12,202516.0,16876.333333333332,0.4430872402850129,48589.0,44069.0,4520.0,0.0,239.9267218392621,0.9069748296939637,0.09302517030603634,0.0,0.0,28.209473359354202,87442,74826,4922,7694,73910,9911,19,93,3509,0,20613,3389,9666,15895,16769,11380,9728,37877,2,0,431.7782298682573,0.05628873996477665,0.8452459916287368,0.11334370211111365,0.23573340042542484,0.038757119004597336,0.11054184488003477,0.1492989638846321,0.18177763546122,0.38503236431005694,0.4331671279247959,27.449296300967475,0,0,0
