practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference,cbt_months_with_any_record,cbt_inbound_complete_months,cbt_mapping_valid_months,cbt_integrity_gap_months,cbt_any_integrity_gap_flag,cbt_annual_inbound_calls,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range,cbt_outcome_complete_months,cbt003_007_comparable_months,cbt003_answered_calls,cbt007_answered_calls,cbt_missed_calls,cbt_ivr_calls,cbt_callback_requests,cbt_answered_share_cbt003,cbt_answered_share_cbt007_sensitivity,cbt_missed_share,cbt_ivr_share,cbt_callback_request_share,cbt003_007_relative_difference
E85052,12,12,12,89091.0,7424.25,0.9521255196459701,4574.0,3230.0,1344.0,0.0,51.34076393799598,0.7061652820288588,0.29383471797114125,0.0,0.0,22.246094113349653,49344,44464,1965,2915,28231,17939,2287,26,861,0,22524,4638,10502,7253,2868,1140,415,4423,4,0,553.8606593258578,0.03982247081712062,0.5721262970168612,0.36354977302204927,0.4564688715953307,0.0939931906614786,0.2128323605706874,0.30682555123216604,0.14698848897535668,0.7632944228274967,0.08963602464332036,59.121929392819396,0,0,0,12,12,12,0,0,47782.0,536.3280241550774,45.98487568213232,229.30351611608364,12,12,32524.0,32524.0,3210.0,11232.0,816.0,0.6806747310702775,0.6806747310702775,0.0671801096647273,0.23506759867732618,0.017077560587668995,0.0
E85054,12,12,12,137377.0,11448.083333333334,0.5545774647887325,4232.0,2745.0,1487.0,0.0,30.805738951935187,0.6486294896030246,0.3513705103969754,0.0,0.0,4.4479790967965,82707,76798,2869,3040,41315,39083,0,0,2309,0,31001,9954,21683,12757,4181,1798,1332,7311,1,0,602.0440102782853,0.03468872042269699,0.49953450131185995,0.47254766827475303,0.3748292163903902,0.12035256991548478,0.26216644298547886,0.38251901290096363,0.15424329258708452,0.7573482292913538,0.08839638724654503,53.81706066968412,0,0,0,12,12,12,0,0,79304.0,577.2727603601768,81.46951470477289,411.0038332534013,12,12,49456.0,49468.0,3726.0,20404.0,5706.0,0.6236255422172904,0.6237768586704328,0.04698375870069606,0.2572884091596893,0.07195097346918189,0.00024263992235522484
E85057,12,12,12,124565.0,10380.416666666666,0.5236109764375061,6777.0,4245.0,2532.0,0.0,54.4053305503151,0.6263833554670208,0.3736166445329792,0.0,0.0,9.533268647145643,49457,45610,1418,2429,34622,10044,3756,281,754,0,20018,2931,7281,6418,4227,3612,4954,12793,16,0,397.03769116525507,0.02867137109003781,0.7000424611278484,0.20308550862365288,0.4047556463190246,0.059263602725600016,0.1472187961259276,0.2064823988515276,0.12976929453869018,0.6112380451705522,0.25866914693572196,56.78597344017546,0,0,0,12,12,12,0,0,90817.0,729.0731746477743,80.25899323565511,226.30267358702577,12,12,45789.0,45789.0,2608.0,38229.0,4191.0,0.5041897442108856,0.5041897442108856,0.02871709041258795,0.42094541770813837,0.04614774766838808,0.0
E85061,12,12,12,76546.0,6378.833333333333,1.7595764559327314,1729.0,1330.0,399.0,0.0,22.587725028087686,0.7692307692307693,0.23076923076923078,0.0,0.0,5.229804274455487,37242,31614,2059,3569,29206,7046,0,0,990,0,12538,3367,8874,6195,3103,1594,1565,6262,6,0,486.5309748386591,0.05528704151227109,0.7842221148166049,0.1891949948982332,0.33666290747006067,0.09040867837387895,0.23827936201063316,0.3286880403845121,0.16634444981472532,0.6653509478545728,0.1681434939047312,54.340191907206986,0,0,0,12,12,12,0,0,46234.0,604.0028218326236,50.46434158202041,140.21232496754783,12,12,31918.0,31918.0,1621.0,12006.0,689.0,0.6903577453821863,0.6903577453821863,0.03506077778258425,0.259679024094822,0.014902452740407492,0.0
E85064,12,12,12,85499.0,7124.916666666667,0.9050403787245892,820.0,458.0,362.0,0.0,9.590755447432134,0.5585365853658537,0.44146341463414634,0.0,0.0,1.484117073146394,41862,37941,1645,2276,40475,127,840,62,358,0,23875,2175,6807,4550,2475,1307,670,4452,3,0,489.619761634639,0.03929578137690507,0.9668673259758254,0.0030337776503750417,0.5703263102575128,0.05195642826429698,0.16260570445750322,0.2145621327218002,0.10869045912760976,0.7848884429793129,0.10634943385409201,63.02742882313584,0,0,0,12,12,12,0,0,65218.0,762.7925472812548,50.678961153309956,146.35612361510505,12,12,39865.0,39865.0,2784.0,18654.0,3915.0,0.6112576282621363,0.6112576282621363,0.04268760158238523,0.2860253304302493,0.06002943972522923,0.0
E85071,12,12,12,26448.0,2204.0,1.3357899585444497,256.0,134.0,122.0,0.0,9.679370840895341,0.5234375,0.4765625,0.0,0.0,4.02353581636967,14779,13336,732,711,12819,1438,340,0,182,0,4573,1811,5471,1908,565,238,175,978,38,0,558.7946158499698,0.049529738141958185,0.8673793896745382,0.0973002232898031,0.30942553623384533,0.12253873739765885,0.37018742810744976,0.4927261655051086,0.12910210433723526,0.8021517017389539,0.06617497800933757,69.35553721989342,0,0,0,12,12,12,0,0,18250.0,690.0332728372656,55.9972875346481,128.296725645719,12,12,14040.0,14040.0,386.0,3263.0,561.0,0.7693150684931507,0.7693150684931507,0.02115068493150685,0.1787945205479452,0.03073972602739726,0.0
E85075,12,12,12,57565.0,4797.083333333333,1.1408421489317568,1506.0,1154.0,352.0,0.0,26.16173021801442,0.7662682602921647,0.2337317397078353,0.0,0.0,5.54357627616403,27169,24869,709,1591,12799,13123,879,31,337,0,13838,2247,5663,3046,1091,643,588,2322,53,0,471.9708155997568,0.026095918142000074,0.47108837277779825,0.4830137288821819,0.509330486952041,0.08270455298317936,0.20843608524421214,0.2911406382273915,0.11211307004306378,0.8004711251794324,0.08546505208141632,49.97610188306296,0,0,0,12,12,12,0,0,29979.0,520.7851993398766,52.89948732121595,185.79114603697315,12,12,19202.0,19202.0,1160.0,8081.0,1536.0,0.6405150271856966,0.6405150271856966,0.03869375229327196,0.2695553554154575,0.0512358651055739,0.0
E85083,12,12,12,79166.0,6597.166666666667,0.3323262839879154,377.0,188.0,189.0,0.0,4.762145365434656,0.4986737400530504,0.5013262599469496,0.0,0.0,1.34878768791987,43697,39512,2137,2048,34502,7944,0,25,1226,0,21029,3540,10503,6068,1924,440,168,2532,25,0,551.9667534042392,0.048904959150513766,0.7895736549419868,0.18179737739432913,0.48124585211799437,0.08101242648236721,0.24035975009726068,0.3213721765796279,0.1388653683319221,0.8026180286976222,0.05794448131450672,69.39530281013018,0,0,0,12,12,12,0,0,83207.0,1051.044640375919,50.35193832675108,203.52319543451267,12,12,49704.0,49706.0,4503.0,26302.0,2696.0,0.5973535880394678,0.5973776244787097,0.054118042953116924,0.3161032124701047,0.03240112009806867,4.023821020441011e-05
E85088,12,12,12,77884.0,6490.333333333333,0.7319732128951877,1843.0,1451.0,392.0,0.0,23.663396846592367,0.7873033098209441,0.21269669017905588,0.0,0.0,5.841034739684199,39446,31476,2202,5768,32522,6089,31,56,748,0,9799,2265,6769,10548,4298,2077,3678,10053,12,0,506.4711622412819,0.055823150636312935,0.8244688941844547,0.15436292653247477,0.24841555544288393,0.05742027074988592,0.17160168331389747,0.2290219540637834,0.2674035390153628,0.47743750950666736,0.2548547381230036,67.72634573332408,0,0,0,12,12,12,0,0,63870.0,820.0657387910226,85.85234481392116,312.7108110785341,12,12,36694.0,36695.0,4095.0,18956.0,4124.0,0.5745107249099733,0.5745263817128542,0.06411460779708783,0.2967903554094254,0.06456865508063253,2.7252411838447703e-05
E85090,12,12,12,67296.0,5608.0,1.130143033727706,213.0,115.0,98.0,0.0,3.1651212553495007,0.539906103286385,0.460093896713615,0.0,0.0,0.4422904568921348,36679,32284,2124,2271,32800,1484,82,588,1725,0,14491,3626,9545,5695,1552,1012,714,3278,44,0,545.0398240608654,0.05790779465089015,0.8942446631587557,0.04045911829657297,0.3950762016412661,0.09885765696992829,0.26023064969055865,0.35908830666048697,0.15526595599661933,0.7541645083017531,0.08936993920226832,53.82023067762146,0,0,0,12,12,12,0,0,56466.0,839.0691868758915,69.26487006921447,199.54429151226395,12,12,33649.0,33649.0,5411.0,15087.0,2319.0,0.5959161265186129,0.5959161265186129,0.09582757765735132,0.2671873339708851,0.041068961853150565,0.0
