practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range,cbt_answered_share_cbt003,cbt_missed_share,cbt_ivr_share,cbt_callback_request_share
A81004,230.73150737070165,0.8893823557402531,0.11061764425974685,441.72973606007815,0.042651201325600664,0.7090637945318973,0.24029826014913008,0.3766694283347142,0.15890637945318972,0.12931234465617233,0.33451532725766364,28.513388986344413,63.964748242595924,547.1080792258933,47.49446330013257,124.64490170781846,0.6189412284105048,0.14796580464767817,0.19107121356041046,0.04179431950446172
A81012,24.583896959360114,0.4916267942583732,0.5083732057416268,504.38157972122565,0.0804570895522388,0.824277052238806,0.09328358208955224,0.35578941231343286,0.30594099813432835,0.18799556902985073,0.14948694029850745,4.4452351170990925,53.90336584901027,839.4695053814033,77.62649431330334,239.79857620098892,0.6676533436087855,0.04629207972816758,0.25538585490594456,0.03066872175710232
A81019,43.843081982616866,0.6757393913416202,0.32426060865837975,510.4345783415551,0.05964324503433168,0.8083500543048064,0.13358982383152623,0.3989102221894962,0.20420448060674118,0.17646300830219244,0.21933619277285865,11.280559054955962,53.41660371366156,807.0378200610759,74.30848867071626,211.20510130114337,0.5545762553994109,0.10342418703209957,0.28405267263561107,0.05794688493287848
A81041,10.388069218370854,0.6300085251491901,0.3699914748508099,434.279742822225,0.028488111260655,0.9576858762592275,0.028324972470329134,0.4201843468330682,0.19236102614299114,0.18322525388474245,0.20416819609282597,1.7504008087583458,64.78052937360837,1072.3533891850723,91.20338845761484,294.963700004173,0.48808304704016914,0.06255780919661734,0.368640988372093,0.08053646934460888
A81618,25.06580822560904,0.6645484949832776,0.3354515050167224,548.3711416260081,0.04067998715851589,0.7196123094797671,0.19743781817070002,0.36975830492409767,0.31151300200266,0.14903765306590433,0.16956874015868406,4.247348138744088,80.2465398447477,895.3523464614456,82.40152150240161,323.32232787564203,0.4397067498103986,0.10108330290347649,0.3364324972144977,0.12274936097300637
A82021,208.650625832101,0.8401262916188289,0.15987370838117107,442.90117058473953,0.03229631478765563,0.7292102224857241,0.17368240396917028,0.28380191593596904,0.3096805733245962,0.1245774435464578,0.28168003245233564,20.157724995194382,46.168437126219345,802.5162274094652,70.59697989215654,217.43745290927325,0.2853682198354793,0.2446915380332141,0.30783625999552244,0.12890133924214853
A82035,69.02659973457966,0.6352085597258212,0.3647914402741787,599.4633893024061,0.06081256677543242,0.5314506270874843,0.38594515511150895,0.344383163447008,0.29598721761812635,0.18120566351919765,0.17645077146679758,9.0555054921803,80.4819041509758,651.6069470890312,62.772011248643096,172.43126167741298,0.5156202957584344,0.1276897192951386,0.2849641370760648,0.07156645709731692
A83003,11.134907526725593,0.6251018744906276,0.37489812550937246,476.4415485416629,0.03904687529761338,0.7090341136359307,0.2101293308698882,0.31696539113540695,0.19670101521875774,0.1475209996000076,0.33848879068970117,1.6498263614615134,47.98396400432073,635.5699947365555,51.547292371948586,191.78712951228147,0.5619538523045291,0.0529013650122794,0.19178708092980754,0.19295790736192814
A83007,39.84862880762703,0.534542490319951,0.4654575096800489,567.2196912482439,0.04657255755354484,0.7858922231130455,0.15545183827740236,0.32769728553430305,0.18010537166418508,0.18938265948917649,0.30113961745504525,5.305827806428778,51.554286773277525,725.8752162155578,64.89996483036934,143.7429478725785,0.6527605302903172,0.10592381272025507,0.1848967947642222,0.055221793365777254
A83015,5.217540547498499,0.6332236842105263,0.3667763157894737,561.7180125289625,0.039033258475029406,0.8208442183418122,0.09050216172449088,0.35647829873046427,0.20326321096292221,0.19709122019035397,0.24301449806743358,1.124727176656568,67.9759988409057,997.1681112159959,85.41386984665779,299.65319172912643,0.632934595524957,0.04820998278829604,0.26424268502581755,0.05452667814113597
A83016,10.364852046364204,0.6912202380952381,0.3087797619047619,663.7052803677054,0.02651576770235412,0.6587576398410449,0.2832492853988985,0.4332457995398666,0.22023657363296228,0.15601543073598104,0.19049057656108387,2.83045809405243,62.66140658153159,856.9203124879501,70.40395305884536,196.41456991454527,0.6408438028726736,0.04305410561935275,0.2674682313978185,0.04715792505129774
A83018,129.38406122469343,0.8575615022750058,0.14243849772499423,546.5820536614083,0.034995162379744066,0.753317877288742,0.21674364263677687,0.3583124920133628,0.3135599408532467,0.16532795414301102,0.16187772686613483,27.09661183212161,54.700991718628714,641.4773350894523,66.70055932706322,240.68162055022083,0.47534978495710806,0.10049074887812162,0.3198656079142006,0.09769869107708101
A83021,12.08696784272881,0.6699698405859543,0.3300301594140457,570.9308683765134,0.032763857597621154,0.6412120438189232,0.29800333841087995,0.3492835186485821,0.2766958853629838,0.2597210693860425,0.11427216257878559,2.3400320780765127,72.52384632274288,1115.1777112355162,83.26701874900506,197.1177301750172,0.6820380868769321,0.03819428229866163,0.22273071139711034,0.057036919427295905
A83023,300.5823771091226,0.7770995067790237,0.22290049322097627,514.6990386788815,0.03949883750968742,0.725458537845518,0.24236631361405322,0.3935029708085766,0.19757168690260915,0.16122448979591836,0.2476491862567812,22.939191379253728,85.62507158963446,625.2376710234148,51.0509903766336,152.3909389966159,0.7007985369017619,0.0439035801248312,0.24741884376960455,0.004965602305230364
A83025,10.954063604240282,0.6763070077864294,0.3236929922135706,586.6638235652492,0.03575471208266265,0.7961472558284438,0.13971649618360246,0.4042265953580144,0.28591307959914847,0.1467262059296952,0.1631237343579625,2.5267601931121657,73.96163070175231,1066.1447544778848,70.75997990552519,220.83323049511716,0.640845271633228,0.04537792076435596,0.2488099795996503,0.06494397046806517
A83031,21.15640858446971,0.7825795644891123,0.21742043551088777,416.90528166019334,0.027693720036720954,0.8039169018394479,0.15682907755601647,0.295773690115943,0.15021590561354597,0.12107714800584815,0.432695250076502,3.8562524296469003,67.50916575738931,716.695489467865,56.02273968062996,143.04202961132262,0.6096222310126582,0.03747033227848101,0.2762856012658228,0.07646360759493671
A83033,126.76320620028554,0.5489767022782855,0.4510232977217145,707.2730981032021,0.03559646573003899,0.5715043716981567,0.19586130528064227,0.47585761413707983,0.19947170507762935,0.1511753985281565,0.1734722126098692,14.766244809281778,85.84865799349821,760.6526616357332,69.50495616377988,193.6464739841531,0.6501281680019735,0.10109720389973938,0.23532503190793355,0.009384686336969228
A83040,18.903167961745368,0.8009342436219906,0.19906575637800933,461.26990164647066,0.06580768664408776,0.851303195405684,0.07439257841260492,0.23519363863937565,0.3210425563245472,0.16230304815196583,0.2813576792814019,3.0245383198485403,62.00728747718793,721.5331739390317,54.8125264755781,171.99805874100264,0.6694343246067384,0.05016615361442948,0.2509813889124234,0.02941813286640873
A83041,85.2816997321469,0.17380889007186584,0.8261911099281342,771.3034003722704,0.03690514729685983,0.8066747108508197,0.048309249830777834,0.3956119956443686,0.3196238853409459,0.1830542393831484,0.10162158980546808,8.696442445661651,92.59499188710289,809.631361510873,67.29194365387805,158.37293110929636,0.8059858414523026,0.04588210555828135,0.14081446695170674,0.005957804724188687
A83044,19.90383652208755,0.4393558127830901,0.5606441872169099,644.0649103475909,0.04468326671539885,0.8264771295705865,0.11955456708711137,0.33090190833164845,0.3809975582064482,0.18408323872031354,0.10350405151095697,3.135740897473363,56.12932718447685,796.9448061704899,61.59553048320235,183.98016309928335,0.8287560175467263,0.023089782425621236,0.14736233487097625,0.0007038801392677133
A83045,38.45207333579427,0.5037090909090909,0.4962909090909091,707.7530565902659,0.031056882299947842,0.4443821023849789,0.3988557158887958,0.4572869086943465,0.22134153087512448,0.1312528646615353,0.18901234372777417,6.757396304474616,68.64849622391164,651.3361745919885,43.959307402655945,170.25672861488454,0.7698338413979648,0.06431668884977029,0.1315100253316732,0.03433944442059164
A83046,4.463879710188862,0.5721561969439728,0.42784380305602715,547.0185224482371,0.030286236803458117,0.81297625315193,0.14708082795311592,0.31416775194657653,0.2604256144531575,0.15989636731414003,0.26545484773753775,0.831725699737838,59.51155027371896,818.5269954830691,58.064687111543314,176.4519457816374,0.6328342731220429,0.10143236761941798,0.22996583428238104,0.03565641695138098
A83047,44.89914283961564,0.8155508632468016,0.18444913675319835,399.5192763491771,0.053713759265204705,0.819455882968774,0.1576236407543377,0.2699367662865199,0.21907061795949134,0.11549574952190846,0.39532935970630523,14.04020900605371,74.53586623667434,610.669611238449,42.847384304651925,121.63730528733788,0.5631364097131533,0.06397201852037881,0.2642898238372252,0.10776157295367166
A83049,7.083944745230987,0.2757142857142857,0.7242857142857143,596.4883873905784,0.03169217196566116,0.6625920396321808,0.25342709782498046,0.36401886600386824,0.276517593566557,0.20050218859217536,0.15891893726035763,1.191673066024698,67.82018098070444,697.8646966553661,64.30895656481317,156.52785513765832,0.673692529673214,0.054031714267069805,0.1951217743748142,0.0743624881270891
A83054,103.72417591604498,0.8651621467855111,0.1348378532144889,686.6145062381053,0.028863852858810636,0.7449810558583594,0.1930082150965829,0.45995229943919613,0.15371613152749228,0.10117389217954319,0.2850144319264294,34.44253545424839,70.38233699839574,624.7645650046472,57.683717890536556,174.22419554654402,0.657937407512358,0.06360788388274928,0.2306366298290356,0.04778659362110765
A83071,20.925932510756322,0.7544604927782498,0.24553950722175022,544.9987554670554,0.054348535264565796,0.8724799373654335,0.08246884582762445,0.29604619299275786,0.26123833757421544,0.18946956351536504,0.2530827950675279,3.8925628213060874,61.341046553992925,764.5877040145077,68.29606692376856,150.09059672832768,0.7446110917335194,0.041437042204394835,0.19258225787699104,0.021113823973956516
A83075,31.041505723716554,0.41499676793794443,0.5850032320620556,656.8278269942713,0.08819575976049368,0.941666157512067,0.023400745402333965,0.3103348200647645,0.30265167715525143,0.2140282275310075,0.17287835278303904,5.51992495745231,77.2790569229537,738.1035987679712,59.76521756513641,173.4259989884191,0.8398782095719665,0.04522285201647433,0.11252021911402901,0.0022835705256290012
A83618,73.68318292259632,0.8137788900338584,0.1862211099661416,662.0639534883721,0.02718023493946295,0.5326441338860036,0.3142683945803365,0.37070956960532137,0.3360093058308895,0.09810442846142503,0.19509477857692875,15.179038006681294,101.8450525317326,852.9373481430059,61.65120346955908,170.18865760366975,0.6634789022560216,0.08902001678663174,0.22087137879288857,0.0260828649184831
A83636,205.01791083425644,0.8662549996491474,0.13374500035085257,852.0090345412956,0.024466432527353775,0.5862657030933406,0.1580946913413481,0.5001519654194245,0.236559502904228,0.110191814129407,0.15306294745373497,15.601352677989047,92.47483104303421,798.377235257729,91.11039713998412,260.5066191122769,0.7224845033876316,0.04764307337465763,0.21055571572725962,0.019316707510451205
A84009,40.95632809600396,0.6193173236671198,0.3806826763328802,585.7942595570952,0.06375429648519791,0.5945807528022852,0.3446797501570758,0.4622041299056489,0.27105211748742075,0.11081895891741772,0.15407684306675326,5.850283303510571,57.7278176108794,1013.160336508722,108.96556259400633,264.57260587257997,0.4837853926581699,0.18920552545218652,0.26194001373731207,0.031302755094253225
A84014,27.983893130683107,0.5849701110162254,0.4150298889837746,435.5247278679906,0.050604260689447046,0.8971042126778145,0.08640722094953292,0.32239125365231347,0.1713329400952002,0.20016735483339965,0.3060810162004966,3.8772603450753023,65.17664492738619,1002.9513328792822,101.61058601985387,218.6942346174917,0.6515999904691558,0.08377016369224904,0.21290714575043485,0.048214158069050966
A84016,22.98906558215425,0.7145127118644068,0.2854872881355932,554.1363271071281,0.028763541277549497,0.7093541936759762,0.23035004065129974,0.33733986683952627,0.241205036366433,0.1407633654881452,0.2805598892526753,4.6387222343662025,76.18157710110572,774.8094391544699,82.10748359056356,255.87434214617792,0.7019581342720643,0.08491010812169977,0.1914759869248177,0.021278601961277344
A84031,262.9012472666042,0.8322851760614404,0.16771482393855963,629.9877330529459,0.015758792511247642,0.5918678341638044,0.3553287213971264,0.441427603889507,0.1561970877074162,0.12299840356054376,0.27929224517439893,21.480960761379553,76.08248242972705,675.7411597979383,55.88382507739423,144.24752706539323,0.5348915874572946,0.27050705273483744,0.15420176121052215,0.0030217952620956376
A84034,10.56994200694724,0.5684062059238364,0.4315937940761636,532.8353981245434,0.03939453288939873,0.7553509974539044,0.2109062421308861,0.31073556979379424,0.1830390867631012,0.120533840687166,0.38560756554097536,2.6115515964052687,74.26779613425002,1004.4277472158863,84.49895842689749,216.82558066066247,0.5083563392406566,0.18147950247870098,0.2713806512898151,0.006753346988452519
A85002,16.512955643390427,0.3803191489361702,0.6196808510638298,392.64382960035135,0.04787204295061798,0.8346848610256697,0.11900900397069515,0.4135674738549298,0.2572563055757508,0.16050556456574017,0.16867065600357922,3.859313373717008,63.49970267187202,1007.8392621870883,89.6236440702601,292.5615456634222,0.7800945595572696,0.02984944549752707,0.18240843628123843,0.007647558663964965
A85004,183.47281026726648,0.8827241177265966,0.11727588227340334,492.03658375231544,0.0864019092116099,0.5486126283591872,0.3577923060116637,0.40540495117729114,0.1584006991479135,0.12725836540562344,0.3084317910623351,30.579229365996824,56.238200218731095,559.4899444297433,53.040646416323426,187.88141632057489,0.7356705784977386,0.0518490052913181,0.19959206597889384,0.012888350232049425
A85006,104.58380556604962,0.9087077882983964,0.09129221170160363,628.3786104337672,0.03910583991473779,0.5737071753249711,0.35959518669326557,0.46098980679364904,0.20028420736206376,0.10527514369779284,0.2331957842574627,38.13186840868762,62.15161682438868,682.16162379366,88.9497054608844,284.1857267473216,0.6009733585063981,0.06412418711978184,0.26078456052024335,0.06259702118732956
A85009,23.293100573348894,0.3722466960352423,0.6277533039647577,457.3836306966125,0.0344373089542612,0.7651925180178917,0.12815838918646064,0.5474073866345103,0.1794217448610449,0.10709778737485627,0.16604503771838808,4.1227272096259036,63.595869759262605,1009.6969075074073,72.97990079088653,372.1482342595434,0.5411273009057533,0.05100420482983778,0.3367293791841868,0.04236588371295367
A85011,28.96316728865812,0.5274109643857543,0.4725890356142457,505.9108504670731,0.03789145724038395,0.7752399715928615,0.18771620352340151,0.5379487296969142,0.19898742296854596,0.09076538910906967,0.1721839133124098,5.803219757288037,87.34891140470728,884.2284601655039,95.00215927931659,341.4737910456872,0.5818096024536983,0.07654699644790479,0.2761065890710812,0.06531398686642287
A85016,25.62828098509556,0.7396386822529224,0.2603613177470776,442.8504313367695,0.03980566104457189,0.6843683215202718,0.19214034224566043,0.3840808105656432,0.14155686413185528,0.124659829953414,0.34937962208453127,6.432028411832092,73.19016640499784,877.612021597478,96.96112509833257,245.86285403218687,0.5114590283488758,0.10621906372678325,0.3021087094822102,0.07689264046425745
A85019,39.660704290860934,0.785728483402902,0.214271516597098,421.2658946322851,0.05035742355627082,0.7104494928702422,0.18956547774991578,0.4444964257644373,0.2526105018900408,0.15631198772409147,0.14607582619109996,10.089635013956118,53.00810002796664,735.9579349000007,81.45410310579096,259.5785607711458,0.5310796190965862,0.09433679317030325,0.26958878284435017,0.10498409331919406
A85024,9.537357343765155,0.711864406779661,0.288135593220339,517.5713685299538,0.08963707914298208,0.6713723530514086,0.2794053344993441,0.3297520144918483,0.3732275594977825,0.15528765069648323,0.14123305640577175,2.8494832844242297,86.26271615726013,1022.9219876499305,80.68933240144902,205.6994001131145,0.6786346396965866,0.0547724399494311,0.256921618204804,0.009671302149178256
A85611,32.378116858950506,0.5374712643678161,0.4625287356321839,602.3371790100484,0.047946221145766396,0.7947209727645692,0.19907567594285996,0.5310414710098363,0.17292768523552962,0.11892640007908654,0.1769561563936533,4.59488908402704,101.9082212381739,1073.6583550427986,83.81021568886746,306.0571998830012,0.7478335621091746,0.0977912732415457,0.1427699901557062,0.011605174493573478
A85614,11.860075073875889,0.6346801346801347,0.3653198653198653,361.7822058940979,0.06923480228483125,0.8420762162311322,0.12930820386876019,0.28728717679847676,0.2352162035376252,0.1699274262534838,0.30754159882998977,2.6893231854941844,54.620009806460345,635.9316348534462,52.34315272541351,186.20952775689125,0.6554317111459969,0.13335949764521193,0.18114599686028257,0.008131868131868131
A85616,13.814505230492017,0.6630434782608695,0.33695652173913043,437.7596476300115,0.03144294534644409,0.7696851894199253,0.22334019361231802,0.2461696775668877,0.31496303071880477,0.1722692278374876,0.26633127524963796,4.248820921863788,36.55610638609784,938.8190933813838,67.93277979946974,215.34347844423746,0.6872756353296605,0.09438421894437533,0.19445530478052248,0.023867069486404834
A86008,22.120909318011492,0.4847543760587239,0.5152456239412762,422.07094678990757,0.05679026959841378,0.9373057914829392,0.036474209108934334,0.47910686277411146,0.20141457784617206,0.22534106714805718,0.09233227782545649,3.733190934944261,57.694485375131514,558.3125156132901,50.44759589815635,214.73536628393344,0.5922681969193597,0.14629126257033234,0.22170766356812868,0.033748336073917466
A86012,147.77827573059713,0.8958493640519621,0.10415063594803783,349.5160567487843,0.07854094501751095,0.7982125428205079,0.18134843932405795,0.3506784299466059,0.19975886551968308,0.0844736187395939,0.3650699481369491,35.64580201314559,27.74146803103906,497.20737653928734,47.79271217666164,223.48718723459064,0.6589401746196172,0.06517966448280037,0.2265346481374356,0.043587639406454735
A86013,49.23145466696369,0.8359728506787331,0.16402714932126697,496.59166852305634,0.05253005562533644,0.6543378790597524,0.2413646151085591,0.4517091333213709,0.18993360846940605,0.08760990489861833,0.2707024941683115,7.353071213872946,73.55655589501875,977.4448652261083,82.81903798346899,268.3986189984513,0.6272463107515241,0.04718819440487722,0.2728163637399578,0.05273773574155319
